date,Net Sales_QTR,Other Income_QTR,Total Income_QTR,Expenditure_QTR,Cost of Materials Consumed_QTR,Finance Costs_QTR,Other Expenses_QTR,Employee benefit expense_QTR,Depreciation and amortisation expense_QTR,Profit (+)/ Loss (-) from Ordinary Activities before Tax_QTR,Tax_QTR,Net Profit (+)/ Loss (-) from Ordinary Activities after Tax_QTR,Net Profit_QTR,Current tax_QTR,Deferred tax_QTR,Minority Interest_QTR,Share of Profit & Loss of Asso_QTR,Net Profit after Mino Inter & Share of P & L_QTR,Any Other_QTR,Income Attributable to Consolidated Group_QTR,EPS after Extraordinary items (in Rs)_QTR,Exceptional Item_QTR,Profit after Interest but before Exceptional Items_QTR,Net Profit Loss for the period from continuing operations_QTR,Profit (loss) from discontinuing operations before tax_QTR,Tax expense of discontinuing operations_QTR,Net profit (loss) from discontinuing operation after tax_QTR,Other Comprehensive Income Net of Taxes_QTR,Any Other Comprehensive Item_QTR,Total Comprehensive Income for the Period_QTR,Total Amount of items that will not be reclassified to profit and loss_QTR,Income tax relating to items that will not be reclassified to profit or loss_QTR,Total Amount of items that will be reclassified to profit and loss_QTR,Income tax relating to items that will be reclassified to profit or loss_QTR,Net movement in regulatory deferral account balances_QTR,Share of profit(loss) of associates and joint ventures_QTR,Basic EPS for continuing operation_QTR,Diluted EPS for continuing operation_QTR,Basic for discontinued & continuing operation_QTR,Diluted for discontinued & continuing operation_QTR,_QTR,basic_eps_QTR,diluted_eps_QTR,Employee benefits expenses_QTR,Depreciation and amortisation expenses_QTR,"Cost of Land, Plots, Constructed Properties and Others_QTR",Tax Expenses_QTR,Revenue from Operations_QTR,Basic for discontinued operation_QTR,Diluted for discontinued operation_QTR,"Cost of Land, Plots, Constructed Properties_QTR",Others_QTR,Extraordinary Items_QTR,Sales & Other Receipts_QTR,Comprehensive Income for the Period Attributable to Owners of Parent_QTR,"Cost of Land, Development Rights, Constructed Properities & Others_QTR",Prior Period Adjustments_QTR,"Total Profit or Loss, Attributable to Non-Controlling Interests_QTR",Total Comprehensive Income for the Period Attributable to Owners of Parent Non-Controlling Interests_QTR,EPS before Extraordinary items (in Rs)_QTR,"Profit from Operations before Other Income, Interest and Exceptional Items_QTR",Interest_QTR,Diluted EPS after Extraordinary items_QTR,Cost of Investment In Sub_QTR,Extraordinary Item_QTR,Face Value (in Rs)_QTR,Profit before Interest and Exceptional Items_QTR,Employee Benefit Expenses_QTR,Prior Period Items_QTR,"Profit or Loss, Attributable to Owners of Parent_QTR",Basic EPS after Extraordinary items_QTR,Reserves_QTR,Equity Capital_QTR,"Depreciation, Amortisation & Impairment_QTR",Basic EPS before Extraordinary items_QTR,Diluted EPS before Extraordinary items_QTR,Paid up Debt Capital_QTR,Staff Cost_QTR,Debt Equity Ratio_QTR,Debt Service Coverage Ratio_QTR,Percentage of Public Shareholding_QTR,Disposed of during the quarter_QTR,Provision for Tax including Fringe Benefit Tax_QTR,Deferred Tax_QTR,Debt Earning Per Share (EPS)_QTR,Depreciation_QTR,Received during the quarter_QTR,Debenture Redemption Reserve_QTR,Cost of Revenues_QTR,Other Expenditure_QTR,Number of Public Shareholding_QTR,Investor Complaints_QTR,Remaining unresolved at the end of the quarter_QTR,Interest Service Coverage Ratio_QTR,Pending at the beginning of the quarter_QTR,Debt Face Value_QTR,Cost of Land Plots & Constructed Properties_QTR
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-05-15,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-05-16,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-05-17,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-05-18,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-05-19,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-05-20,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-05-21,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-05-22,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-05-23,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-05-24,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-05-25,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-05-26,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-05-27,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-05-28,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-05-29,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-05-30,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-05-31,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-01,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-02,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-03,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-04,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-05,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-06,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-07,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-08,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-09,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-10,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-11,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-12,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-13,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-14,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-15,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-16,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-17,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-18,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-19,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-20,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-21,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-22,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-23,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-24,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-25,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-26,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,311.90","2,097.60","15,409.50","-16,786.00",,"-5,360.30","-2,440.00",,,"1,588.60",-99.70,"1,488.90","4,139.40",,,0.00,0.00,"4,139.40",0.00,"4,139.40",,"2,965.10","-1,376.50","1,488.90",0.00,0.00,0.00,-12.90,0.00,"4,126.50",0.00,0.00,0.00,0.00,0.00,"2,650.50",1.83,1.74,1.83,1.74,Notes,1.83,1.74,2019-06-27,-782.40,-510.60,"-7,692.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
