Net Sales/Revenue From Operations,Revenue from Operations,Other Income,Total Income,Expenditure,Provisions and Loan Losses,Depreciation and amortisation expense,Employee benefit expense,Finance Costs,Other Expenses,Profit after Interest but before Exceptional Items,Profit (+)/ Loss (-) from Ordinary Activities before Tax,Tax,Current tax,Deferred tax,Net Profit (+)/ Loss (-) from Ordinary Activities after Tax,Net Profit,Basic for discontinued & continuing operation,Diluted for discontinued & continuing operation,,date,Impairment on financial instruments,Other Expenditure,Net loss on fair value changes,Basic EPS for continuing operation,Diluted EPS for continuing operation,Profit before extraordinary items and Tax,Net Profit after Mino Inter & Share of P & L,Net profit (loss) from discontinuing operation after tax,Profit (loss) from discontinuing operations before tax,Deferred Tax,Minority Interest,Share of Profit & Loss of Asso,Exceptional Item,Extraordinary Items,Tax expense of discontinuing operations,Any Other,Business origination outsourcing,Net Sales,Other operating expenses,Income Attributable to Consolidated Group,EPS after Extraordinary items (in Rs),Net Profit Loss for the period from continuing operations,Provisions and loan losses,Prior year,Reserves,"Profit or Loss, Attributable to Owners of Parent",Prior Period Items,Employee Benefit Expenses,Equity Capital,"Total Profit or Loss, Attributable to Non-Controlling Interests",Other Operating Income,Diluted EPS before Extraordinary items,Interest,Total Comprehensive Income for the Period Attributable to Owners of Parent Non-Controlling Interests,EPS before Extraordinary items (in Rs),Depreciation & amortization expense,Other Comprehensive Income Net of Taxes,"Profit from Operations before Other Income, Interest and Exceptional Items",Business Origination Outsourcing,Diluted EPS after Extraordinary items,Total Comprehensive Income for the Period,Comprehensive Income for the Period Attributable to Owners of Parent,Income from Operations,Provisions & Loan Losses,Tax expenses (Including Deferred Tax),Cost of Investment In Sub,Basic EPS after Extraordinary items,Any Other Comprehensive Item,Profit before Interest and Exceptional Items,Other Operating Expenditure,Basic EPS before Extraordinary items,Face Value (in Rs),Interest (Finance Charges),Interest (Including Financial Charges),Tax Expenses (including deferred tax),Loan Provision and Write Offs,Finance Cost,Pending at the beginning of the quarter,Debt Equity Ratio,Percentage of Public Shareholding,Disposed of during the quarter,Debt Service Coverage Ratio,Debt Earning Per Share (EPS),Paid up Debt Capital,Received during the quarter,Depreciation,Debt Face Value,Debenture Redemption Reserve,Remaining unresolved at the end of the quarter,Number of Public Shareholding,"Provision, Loan Losses & Other Charges",Employees Cost,Investor Complaints,Interest Service Coverage Ratio,Branch Closure Costs / Losses,MTM Adjustment for Derivatives,Finance Charges,Deferred Tax & Fringe Benefit Tax,Total Amount of items that will not be reclassified to profit and loss,Income tax relating to items that will not be reclassified to profit or loss,Total Amount of items that will be reclassified to profit and loss,Income tax relating to items that will be reclassified to profit or loss,Net movement in regulatory deferral account balances,Share of profit(loss) of associates and joint ventures
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-10-22,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-10-23,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-10-24,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-10-25,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-10-26,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-10-27,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-10-28,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-10-29,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-10-30,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-10-31,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-01,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-02,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-03,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-04,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-05,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-06,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-07,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-08,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-09,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-10,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-11,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-12,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-13,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-14,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-15,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-16,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-17,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-18,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-19,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-20,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-21,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-22,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-23,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-24,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-25,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-26,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-27,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-28,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-29,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-11-30,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-12-01,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-12-02,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-12-03,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-12-04,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.90,,"-3,258.30",,,,,,"2,240.50","2,240.50",-760.20,,,"1,480.30","1,480.30",,,Notes,2015-12-05,,,,,,,"1,480.30",-,-,,0.00,0.00,0.00,0.00,-,0.00,,"10,600.00",,"1,480.30",,-,,,0.00,-,0.00,-614.90,0.00,-,54.70,9.47,"-5,102.10",-,,-50.30,-,"7,341.70",-636.90,9.47,-,-,"10,545.30","-1,069.70",-760.20,0.00,9.48,-,"7,342.60",-886.50,9.48,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
