date,Net Sales_QTR,Other Income_QTR,Total Income_QTR,Expenditure_QTR,Finance Costs_QTR,Purchases of stock-in-trade_QTR,"Changes in inventories of finished goods, work-in-progress and stock-in-trade_QTR",Employee benefit expense_QTR,Depreciation and amortisation expense_QTR,Other Expenses_QTR,Profit (+)/ Loss (-) from Ordinary Activities before Tax_QTR,Tax_QTR,Net Profit (+)/ Loss (-) from Ordinary Activities after Tax_QTR,Net Profit_QTR,Current tax_QTR,Deferred tax_QTR,Minority Interest_QTR,Share of Profit & Loss of Asso_QTR,Net Profit after Mino Inter & Share of P & L_QTR,Any Other_QTR,Income Attributable to Consolidated Group_QTR,EPS after Extraordinary items (in Rs)_QTR,Exceptional Item_QTR,Profit after Interest but before Exceptional Items_QTR,Net Profit Loss for the period from continuing operations_QTR,Profit (loss) from discontinuing operations before tax_QTR,Tax expense of discontinuing operations_QTR,Net profit (loss) from discontinuing operation after tax_QTR,Other Comprehensive Income Net of Taxes_QTR,Any Other Comprehensive Item_QTR,Total Comprehensive Income for the Period_QTR,Total Amount of items that will not be reclassified to profit and loss_QTR,Income tax relating to items that will not be reclassified to profit or loss_QTR,Total Amount of items that will be reclassified to profit and loss_QTR,Income tax relating to items that will be reclassified to profit or loss_QTR,Net movement in regulatory deferral account balances_QTR,Share of profit(loss) of associates and joint ventures_QTR,Basic EPS for continuing operation_QTR,Diluted EPS for continuing operation_QTR,Basic for discontinued & continuing operation_QTR,Diluted for discontinued & continuing operation_QTR,_QTR,basic_eps_QTR,diluted_eps_QTR,Depreciation and amortisation expenses_QTR,Basic for discontinued operation_QTR,Diluted for discontinued operation_QTR,Net Sales / Income from Operations_QTR,Other Operating Income_QTR,"Changes in inventories of finished goods, wip and Stock-in-trade_QTR",Equity Capital_QTR,Employee Benefit Expenses_QTR,"Profit or Loss, Attributable to Owners of Parent_QTR","Profit from Operations before Other Income, Interest and Exceptional Items_QTR",Profit before Interest and Exceptional Items_QTR,Financial Cost_QTR,"Total Profit or Loss, Attributable to Non-Controlling Interests_QTR",Total Comprehensive Income for the Period Attributable to Owners of Parent Non-Controlling Interests_QTR,Basic & Diluted EPS after Extraordinary items_QTR,Interest_QTR,Prior Period Items_QTR,Tax Expense_QTR,Comprehensive Income for the Period Attributable to Owners of Parent_QTR,Extraordinary Items_QTR,EPS before Extraordinary items (in Rs)_QTR,Reserves_QTR,Net Exchange (Gain) / Loss_QTR,Cost of Investment In Sub_QTR,Face Value (in Rs)_QTR,Purchases of Stock in Trade_QTR,Interest income on income tax refund_QTR,Deferred Tax_QTR,Profit before extraordinary items and Tax_QTR,Revenue from Operations_QTR,Short provision for tax relating to prior years_QTR
2022-10-15,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-16,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-17,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-18,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-19,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-20,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-21,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-22,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-23,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-24,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-25,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-26,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-27,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-28,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-29,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-30,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-31,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-01,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-02,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-03,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-04,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-05,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-06,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-07,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-08,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-09,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-10,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-11,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-12,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-13,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-14,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-15,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-16,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-17,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-18,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-19,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-20,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-21,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-22,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-23,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-24,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-25,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-26,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-27,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-28,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-29,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-30,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-12-01,"22,607.80",165.50,"22,773.30","-21,219.90",-38.50,"-17,243.90",-310.50,"-2,397.60",-136.20,"-1,093.20","1,553.40",-376.80,"1,176.60","1,176.60",-335.40,-41.40,0.00,0.00,"1,176.60",0.00,"1,176.60",,0.00,"1,553.40","1,176.60",0.00,0.00,0.00,34.30,0.00,"1,210.90",0.00,0.00,0.00,0.00,0.00,0.00,8.48,8.48,8.48,8.48,Notes,8.48,8.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
